id;custid;custname;custemail;custphone;custaddress
1;2fd91947-cb33-4a97-bf12-3e45c649c026;Implementation Western Sahara generate;scale deposit;Tennessee relationships Ball;full-range
2;cacf3e1c-7f3d-4f61-bad5-41bc1191a7ca;secondary database protocol;quantifying Handmade;violet Compatible primary;Credit Card Account
3;2b39ecb4-ac96-4203-a2c6-adae02ae79e9;connect Handcrafted;FTP Rustic;Re-engineered;Refined Hat Hat
4;78293d3c-3b7a-40e3-9dd9-871aef726f29;Centralized Cotton functionalities;Intelligent Cotton Sausages;Practical Frozen Shoes transmitting Virtual;initiatives multi-tasking
5;d0a3d847-3d4e-4b52-834c-10bc4e90d3f7;Tala backing up Personal Loan Account;Egypt;Intranet Ramp Latvian Lats;Internal New Leu Licensed
6;c86ea77e-e14e-42ce-826b-90d96c161ef4;optical mindshare;transmitter digital Wisconsin;Gorgeous deliverables Unbranded Soft Bacon;Mouse
7;4bc9b877-ab23-4d81-9acd-9744b08bef87;Metal;online;Car backing up;Data Buckinghamshire
8;a37f469c-3648-4db7-ba97-9b519e461d36;parsing Philippine Peso;Engineer Global;New Mexico Wooden uniform;Human Internal Data
9;16884c92-f488-47cf-8b16-fda08018c4e0;Assistant applications;e-tailers;Home Loan Account;zero tolerance Lakes
10;307f24e7-3aea-4677-998b-9cea93accfd8;Frozen embrace sexy;silver;Credit Card Account Handcrafted Wooden Ball calculating;Brand payment back up
